policy,seed,wait_seconds
batch,2,76.9000
batch,2,50.1000
batch,2,28.7000
batch,2,12.7000
batch,2,45.6000
batch,2,79.3000
batch,2,154.4000
batch,2,49.3000
batch,2,14.9000
batch,2,69.0000
batch,2,82.6000
batch,2,12.2000
batch,2,233.9000
batch,2,3.1000
batch,2,10.3000
batch,2,168.7000
batch,2,58.4000
batch,2,38.5000
batch,2,29.9000
batch,2,33.2000
batch,2,50.8000
batch,2,300.3000
batch,2,152.5000
batch,2,55.5000
batch,2,75.2000
batch,2,49.0000
batch,2,52.8000
batch,2,37.9000
batch,2,97.1000
batch,2,45.9000
batch,2,25.1000
batch,2,17.8000
batch,2,28.6000
batch,2,58.2000
batch,2,153.6000
batch,2,164.0000
batch,2,294.3000
batch,2,37.9000
batch,2,146.3000
batch,2,144.7000
batch,2,94.5000
batch,2,59.5000
batch,2,156.0000
batch,2,72.7000
batch,2,96.0000
batch,2,70.6000
batch,2,212.0000
batch,2,308.8000
batch,2,53.4000
batch,2,1.3000
batch,2,72.5000
batch,2,65.9000
batch,2,78.1000
batch,2,30.5000
batch,2,83.7000
batch,2,157.2000
batch,2,23.3000
batch,2,49.9000
batch,2,79.3000
batch,2,185.3000
batch,2,78.4000
batch,2,193.4000
batch,2,22.6000
batch,2,58.8000
batch,2,77.3000
batch,2,2.4000
batch,2,65.8000
batch,2,129.3000
batch,2,96.0000
batch,2,111.2000
batch,2,47.5000
batch,2,561.2000
batch,2,49.9000
batch,2,128.7000
batch,2,55.7000
batch,2,158.4000
batch,2,40.2000
batch,2,220.0000
batch,2,43.6000
batch,2,23.6000
batch,2,111.7000
batch,2,252.8000
batch,2,120.5000
batch,2,19.7000
batch,2,32.8000
batch,2,81.3000
batch,2,158.4000
batch,2,73.0000
batch,2,95.4000
batch,2,144.3000
batch,2,153.7000
batch,2,81.8000
batch,2,55.7000
batch,2,59.4000
batch,2,86.1000
batch,2,79.0000
batch,2,75.5000
batch,2,57.2000
batch,2,49.0000
batch,2,31.1000
batch,2,94.1000
batch,2,131.6000
batch,2,90.7000
batch,2,62.2000
batch,2,89.7000
batch,2,50.3000
batch,2,40.9000
batch,2,143.1000
batch,2,4.6000
batch,2,32.4000
batch,2,100.2000
batch,2,120.7000
batch,2,58.7000
batch,2,159.8000
batch,2,76.6000
batch,2,23.1000
batch,2,189.2000
batch,2,43.4000
batch,2,38.0000
batch,2,4.6000
batch,2,95.7000
batch,2,164.1000
batch,2,132.1000
batch,2,93.8000
batch,2,163.7000
batch,2,95.0000
batch,2,82.7000
batch,2,188.7000
batch,2,76.4000
batch,2,148.0000
batch,2,104.1000
batch,2,95.6000
batch,2,162.0000
batch,2,37.6000
batch,2,60.2000
batch,2,34.0000
batch,2,80.8000
batch,2,41.6000
batch,2,13.9000
batch,2,115.6000
batch,2,126.2000
batch,2,67.0000
batch,2,64.8000
batch,2,63.6000
batch,2,63.0000
batch,2,105.6000
batch,2,526.2000
batch,2,69.2000
batch,2,359.1000
batch,2,258.5000
batch,2,181.3000
batch,2,228.5000
batch,2,554.7000
batch,2,166.0000
batch,2,70.5000
batch,2,160.4000
batch,2,65.6000
batch,2,59.0000
batch,2,125.6000
batch,2,53.6000
batch,2,137.8000
batch,2,70.4000
batch,2,171.7000
batch,2,95.6000
batch,2,160.2000
batch,2,178.4000
batch,2,185.2000
batch,2,49.5000
batch,2,162.7000
batch,2,126.5000
batch,2,179.3000
batch,2,101.2000
batch,2,164.6000
batch,2,163.2000
batch,2,115.2000
batch,2,158.6000
batch,2,69.1000
batch,2,30.1000
batch,2,139.2000
batch,2,164.1000
batch,2,39.3000
batch,2,65.4000
batch,2,131.8000
batch,2,110.5000
batch,2,122.2000
batch,2,61.2000
batch,2,136.9000
batch,2,111.5000
batch,2,538.6000
batch,2,161.0000
batch,2,187.6000
batch,2,278.0000
batch,2,113.6000
batch,2,81.9000
batch,2,155.8000
batch,2,122.6000
batch,2,173.4000
batch,2,162.7000
batch,2,217.7000
batch,2,128.2000
batch,2,108.4000
batch,2,78.8000
batch,2,92.1000
batch,2,99.2000
batch,2,133.8000
batch,2,96.4000
batch,2,110.9000
batch,2,190.0000
batch,2,245.8000
batch,2,165.6000
batch,2,67.6000
batch,2,84.8000
batch,2,201.1000
batch,2,120.0000
batch,2,65.2000
batch,2,136.6000
batch,2,133.2000
batch,2,200.2000
batch,2,154.9000
batch,2,64.0000
batch,2,153.5000
batch,2,289.7000
batch,2,74.4000
batch,2,199.8000
batch,2,229.6000
batch,2,106.5000
batch,2,210.2000
batch,2,104.8000
batch,2,107.3000
batch,2,85.1000
batch,2,166.7000
batch,2,346.4000
batch,2,196.4000
batch,2,70.8000
batch,2,25.3000
batch,2,126.9000
batch,2,494.9000
batch,2,164.2000
batch,2,243.8000
batch,2,125.1000
batch,2,920.3000
batch,2,282.7000
batch,2,134.5000
batch,2,239.5000
batch,2,555.5000
batch,2,518.8000
batch,2,263.9000
batch,2,172.8000
batch,2,100.0000
batch,2,116.2000
batch,2,168.6000
batch,2,13.4000
batch,2,0.9000
batch,2,257.0000
batch,2,219.4000
batch,2,123.0000
batch,2,106.8000
batch,2,98.9000
batch,2,35.5000
batch,2,140.9000
batch,2,183.1000
batch,2,85.3000
batch,2,250.5000
batch,2,470.2000
batch,2,137.0000
batch,2,107.2000
batch,2,139.1000
batch,2,443.6000
batch,2,152.5000
batch,2,208.8000
batch,2,109.3000
batch,2,292.1000
batch,2,108.1000
batch,2,189.9000
batch,2,136.3000
batch,2,126.5000
batch,2,747.8000
