demand,policy,seed,wait_seconds,picked_up
1,greedy,1,181.5000,true
1,greedy,1,166.9000,true
1,greedy,1,1123.8000,true
1,greedy,1,245.4000,true
1,greedy,1,242.7000,true
1,greedy,1,171.7000,true
1,greedy,1,82.3000,true
1,greedy,1,94.5000,true
1,greedy,1,222.8000,true
1,greedy,1,689.6000,true
1,greedy,1,193.8000,true
1,greedy,1,136.2000,true
1,greedy,1,140.3000,true
1,greedy,1,178.6000,true
1,greedy,1,212.6000,true
1,greedy,1,254.1000,true
1,greedy,1,90.8000,true
1,greedy,1,116.6000,true
1,greedy,1,182.4000,true
1,greedy,1,110.6000,true
1,greedy,1,85.0000,true
1,greedy,1,281.7000,true
1,greedy,1,66.6000,true
1,greedy,1,98.3000,true
1,greedy,1,162.7000,true
1,greedy,1,60.4000,true
1,greedy,1,171.9000,true
1,greedy,1,150.2000,true
1,greedy,1,164.9000,true
1,greedy,1,150.0000,true
1,greedy,1,602.3000,true
1,greedy,1,58.3000,true
1,greedy,1,179.5000,true
1,greedy,1,141.7000,true
1,greedy,1,29.5000,true
1,greedy,1,221.2000,true
1,greedy,1,139.0000,true
1,greedy,1,95.5000,true
1,greedy,1,253.3000,true
1,greedy,1,377.7000,true
1,greedy,1,182.6000,true
1,greedy,1,297.7000,true
1,greedy,1,108.1000,true
1,greedy,1,126.3000,true
1,greedy,1,94.0000,true
1,greedy,1,102.8000,true
1,greedy,1,608.4000,true
1,greedy,1,833.3000,true
1,greedy,1,657.0000,true
1,greedy,1,230.8000,true
1,greedy,1,118.2000,true
1,greedy,1,578.3000,true
1,greedy,1,535.6000,true
1,greedy,1,1146.7000,true
1,greedy,1,339.3000,true
1,greedy,1,1208.0000,true
1,greedy,1,568.1000,true
1,greedy,1,498.3000,true
1,greedy,2,29.8000,true
1,greedy,2,39.3000,true
1,greedy,2,23.7000,true
1,greedy,2,26.2000,true
1,greedy,2,3.0000,true
1,greedy,2,30.3000,true
1,greedy,2,16.6000,true
1,greedy,2,21.6000,true
1,greedy,2,31.1000,true
1,greedy,2,17.8000,true
1,greedy,2,46.4000,true
1,greedy,2,51.6000,true
1,greedy,2,17.7000,true
1,greedy,2,16.2000,true
1,greedy,2,27.9000,true
1,greedy,2,1.1000,true
1,greedy,2,8.2000,true
1,greedy,2,30.0000,true
